Session #,SNI,TLS Version,TLS Level,Cipher Suite,Vulnerable Field,Vulnerability Level,Issuer,Expiry Date,Public Key Algorithm, MigratiTn Required, Total
104,stats.g.doubleclick.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,WR2,2025-09-29,ECDSA,T,TLS_H_CS_M
105,analytics.google.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
106,connect.facebook.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert SHA2 High Assurance Server CA,2025-08-06,ECDSA,T,TLS_H_CS_M
107,ap2.event.dfinery.io,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,Amazon RSA 2048 M03,2025-12-21,RSA,F,TLS_M_CS_L
108,dynamic.criteo.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2025-09-25,ECDSA,T,TLS_H_CS_M
109,wcs.naver.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G3 TLS ECC SHA384 2020 CA1,2026-06-19,ECDSA,F,TLS_H_CS_M
110,tags.creativecdn.com,1.3,H,AES_256_GCM_SHA384,None,H,E6,2025-10-22,ECDSA,T,TLS_H_CS_H
111,karrot-pixel.business.daangn.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M03,2026-04-14,RSA,F,TLS_H_CS_M
112,agent-lib.stclab.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M02,2025-10-12,RSA,T,TLS_H_CS_M
113,doosan.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,redirect01,2022-08-24,RSA,F,TLS_M_CS_L
114,phinf.pstatic.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,GeoTrust TLS ECC CA G1,2026-06-22,ECDSA,F,TLS_H_CS_M
115,collection.decibelinsight.net,1.3,H,AES_256_GCM_SHA384,None,H,RapidSSL TLS RSA CA G1,2025-11-27,RSA,F,TLS_H_CS_H
116,nlog.naver.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert TLS Hybrid ECC SHA384 2020 CA1,2026-03-17,ECDSA,F,TLS_H_CS_M
117,analytics-fe.digital-cloud-west.medallia.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,SSL.com RSA SSL subCA,2025-10-01,RSA,T,TLS_H_CS_M
118,cologger.shopping.naver.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert TLS Hybrid ECC SHA384 2020 CA1,2026-03-17,ECDSA,F,TLS_H_CS_M
119,ebay.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo Public Server Authentication CA OV R36,2026-07-28,RSA,F,TLS_H_CS_M
120,hyundai.demdex.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2025-10-26,RSA,T,TLS_H_CS_M
